"","lon","lat","address"
"447",NA,NA,NA
"448",NA,NA,NA
"449",NA,NA,NA
"450",NA,NA,NA
"451",NA,NA,NA
"452",NA,NA,NA
"453",NA,NA,NA
"454",6.3382212,46.4574188,"grand-rue 45, 1180 rolle, switzerland"
"455",6.3380752,46.4573487,"grand-rue 47, 1180 rolle, switzerland"
"456",6.3390027,46.4586358,"grand-rue 48, 1180 rolle, switzerland"
"457",NA,NA,NA
"458",NA,NA,NA
"459",6.3380159,46.4572729,"grand-rue 51, 1180 rolle, switzerland"
"460",NA,NA,NA
"461",6.3378862,46.4570952,"grand-rue 53, 1180 rolle, switzerland"
"462",6.3386401,46.4582977,"grand-rue 54, 1180 rolle, switzerland"
"463",NA,NA,NA
"464",6.3385444,46.4582653,"grand-rue 56, 1180 rolle, switzerland"
"465",6.3397549,46.4612971,"rolle, switzerland"
"466",6.3384405,46.4581957,"grand-rue 58, 1180 rolle, switzerland"
"467",6.337593,46.4569449,"grand-rue 59, 1180 rolle, switzerland"
